id_item,id_pedido,id_produto,quantidade,valor_unitario,valor_total_item
1,131,29,2,603.75,1207.5
2,169,31,2,1235.29,2470.58
3,132,6,3,2572.16,7716.48
4,86,43,5,2218.6,11093.0
5,173,6,2,2572.16,5144.32
6,51,20,2,4860.85,9721.7
7,12,10,1,3002.22,3002.22
8,157,16,4,3766.85,15067.4
9,117,50,1,4305.2,4305.2
10,50,27,5,4596.54,22982.7
11,127,46,4,154.12,616.48
12,38,26,2,2719.93,5439.86
13,193,42,1,4975.99,4975.99
14,200,50,1,4305.2,4305.2
15,46,28,2,1654.57,3309.14
16,119,45,5,1162.25,5811.25
17,64,4,5,2027.03,10135.15
18,35,8,4,806.56,3226.24
19,144,30,5,4399.67,21998.35
20,194,39,3,4823.6,14470.8
21,185,29,5,603.75,3018.75
22,141,33,4,473.98,1895.92
23,191,29,2,603.75,1207.5
24,67,31,4,1235.29,4941.16
25,164,49,2,1183.26,2366.52
26,125,18,5,832.88,4164.4
27,71,41,2,3579.1,7158.2
28,183,29,1,603.75,603.75
29,70,19,2,4771.39,9542.78
30,139,22,3,4359.07,13077.21
31,39,6,2,2572.16,5144.32
32,178,15,4,3424.47,13697.88
33,17,10,2,3002.22,6004.44
34,85,27,4,4596.54,18386.16
35,107,35,4,3840.88,15363.52
36,108,4,2,2027.03,4054.06
37,179,25,5,1900.87,9504.35
38,98,2,5,1350.57,6752.85
39,91,31,1,1235.29,1235.29
40,108,20,4,4860.85,19443.4
41,155,35,5,3840.88,19204.4
42,57,15,4,3424.47,13697.88
43,125,18,4,832.88,3331.52
44,87,2,4,1350.57,5402.28
45,186,43,4,2218.6,8874.4
46,33,11,4,1939.02,7756.08
47,7,40,5,3788.56,18942.8
48,145,26,5,2719.93,13599.65
49,22,43,1,2218.6,2218.6
50,35,42,4,4975.99,19903.96
51,13,30,2,4399.67,8799.34
52,84,17,4,602.18,2408.72
53,84,14,4,3417.4,13669.6
54,72,22,4,4359.07,17436.28
55,65,49,4,1183.26,4733.04
56,5,6,4,2572.16,10288.64
57,14,48,5,85.59,427.95
58,167,23,2,4216.26,8432.52
59,194,5,1,4986.76,4986.76
60,52,2,2,1350.57,2701.14
61,40,2,5,1350.57,6752.85
62,122,16,2,3766.85,7533.7
63,145,43,1,2218.6,2218.6
64,180,14,4,3417.4,13669.6
65,43,17,3,602.18,1806.54
66,192,39,5,4823.6,24118.0
67,200,46,1,154.12,154.12
68,28,11,3,1939.02,5817.06
69,80,38,1,4368.54,4368.54
70,102,37,4,867.38,3469.52
71,20,46,2,154.12,308.24
72,27,38,2,4368.54,8737.08
73,176,45,3,1162.25,3486.75
74,145,39,1,4823.6,4823.6
75,137,3,3,2170.75,6512.25
76,18,28,3,1654.57,4963.71
77,4,33,3,473.98,1421.94
78,28,27,4,4596.54,18386.16
79,163,28,3,1654.57,4963.71
80,112,30,2,4399.67,8799.34
81,167,12,5,2669.12,13345.6
82,138,18,5,832.88,4164.4
83,120,50,4,4305.2,17220.8
84,69,28,5,1654.57,8272.85
85,23,21,2,2563.02,5126.04
86,63,18,4,832.88,3331.52
87,146,49,4,1183.26,4733.04
88,87,40,4,3788.56,15154.24
89,84,2,4,1350.57,5402.28
90,55,12,4,2669.12,10676.48
91,88,23,3,4216.26,12648.78
92,180,18,5,832.88,4164.4
93,3,18,5,832.88,4164.4
94,22,34,2,4089.32,8178.64
95,126,16,4,3766.85,15067.4
96,177,36,2,3315.77,6631.54
97,115,31,4,1235.29,4941.16
98,76,2,1,1350.57,1350.57
99,178,15,4,3424.47,13697.88
100,170,16,3,3766.85,11300.55
101,122,38,3,4368.54,13105.62
102,89,36,5,3315.77,16578.85
103,85,28,5,1654.57,8272.85
104,70,23,4,4216.26,16865.04
105,60,20,3,4860.85,14582.55
106,81,8,2,806.56,1613.12
107,196,8,5,806.56,4032.8
108,50,45,2,1162.25,2324.5
109,71,14,4,3417.4,13669.6
110,195,47,5,1189.07,5945.35
111,73,34,5,4089.32,20446.6
112,76,7,2,3791.12,7582.24
113,46,15,3,3424.47,10273.41
114,182,20,1,4860.85,4860.85
115,71,35,2,3840.88,7681.76
116,142,3,1,2170.75,2170.75
117,164,19,2,4771.39,9542.78
118,27,49,4,1183.26,4733.04
119,73,1,5,3737.7,18688.5
120,113,31,4,1235.29,4941.16
121,14,22,2,4359.07,8718.14
122,30,17,4,602.18,2408.72
123,126,5,4,4986.76,19947.04
124,162,5,5,4986.76,24933.8
125,39,44,1,2284.86,2284.86
126,78,10,5,3002.22,15011.1
127,31,6,2,2572.16,5144.32
128,156,36,4,3315.77,13263.08
129,58,39,5,4823.6,24118.0
130,98,50,5,4305.2,21526.0
131,77,29,4,603.75,2415.0
132,79,38,4,4368.54,17474.16
133,16,37,5,867.38,4336.9
134,196,40,1,3788.56,3788.56
135,68,14,2,3417.4,6834.8
136,41,43,1,2218.6,2218.6
137,142,16,2,3766.85,7533.7
138,1,5,2,4986.76,9973.52
139,177,27,4,4596.54,18386.16
140,75,39,4,4823.6,19294.4
141,74,3,2,2170.75,4341.5
142,180,46,3,154.12,462.36
143,176,30,1,4399.67,4399.67
144,161,15,3,3424.47,10273.41
145,109,38,2,4368.54,8737.08
146,58,8,5,806.56,4032.8
147,69,42,2,4975.99,9951.98
148,16,10,1,3002.22,3002.22
149,153,11,3,1939.02,5817.06
150,74,48,5,85.59,427.95
151,120,29,1,603.75,603.75
152,180,45,3,1162.25,3486.75
153,129,26,3,2719.93,8159.79
154,113,35,4,3840.88,15363.52
155,11,6,5,2572.16,12860.8
156,155,28,3,1654.57,4963.71
157,24,17,1,602.18,602.18
158,151,15,5,3424.47,17122.35
159,148,2,3,1350.57,4051.71
160,121,3,2,2170.75,4341.5
161,72,34,4,4089.32,16357.28
162,112,12,5,2669.12,13345.6
163,24,41,4,3579.1,14316.4
164,105,31,3,1235.29,3705.87
165,172,22,3,4359.07,13077.21
166,85,7,2,3791.12,7582.24
167,74,27,4,4596.54,18386.16
168,195,43,4,2218.6,8874.4
169,117,36,1,3315.77,3315.77
170,65,6,3,2572.16,7716.48
171,198,21,1,2563.02,2563.02
172,1,26,5,2719.93,13599.65
173,119,43,5,2218.6,11093.0
174,49,27,1,4596.54,4596.54
175,160,34,3,4089.32,12267.96
176,161,49,4,1183.26,4733.04
177,53,29,1,603.75,603.75
178,34,18,5,832.88,4164.4
179,179,19,4,4771.39,19085.56
180,8,32,1,4396.15,4396.15
181,62,41,5,3579.1,17895.5
182,80,46,2,154.12,308.24
183,142,36,1,3315.77,3315.77
184,58,27,1,4596.54,4596.54
185,31,8,4,806.56,3226.24
186,128,42,2,4975.99,9951.98
187,131,46,3,154.12,462.36
188,107,46,3,154.12,462.36
189,63,31,4,1235.29,4941.16
190,38,30,5,4399.67,21998.35
191,154,25,2,1900.87,3801.74
192,18,33,2,473.98,947.96
193,88,18,4,832.88,3331.52
194,1,33,3,473.98,1421.94
195,151,19,3,4771.39,14314.17
196,39,38,4,4368.54,17474.16
197,124,29,5,603.75,3018.75
198,142,23,3,4216.26,12648.78
199,97,49,5,1183.26,5916.3
200,49,30,3,4399.67,13199.01
201,147,45,2,1162.25,2324.5
202,199,25,2,1900.87,3801.74
203,82,27,1,4596.54,4596.54
204,181,48,4,85.59,342.36
205,170,25,4,1900.87,7603.48
206,127,42,2,4975.99,9951.98
207,129,3,2,2170.75,4341.5
208,26,38,3,4368.54,13105.62
209,135,29,1,603.75,603.75
210,185,30,1,4399.67,4399.67
211,168,10,4,3002.22,12008.88
212,121,10,1,3002.22,3002.22
213,160,17,3,602.18,1806.54
214,167,45,4,1162.25,4649.0
215,173,6,3,2572.16,7716.48
216,82,35,4,3840.88,15363.52
217,139,41,4,3579.1,14316.4
218,18,3,5,2170.75,10853.75
219,59,16,3,3766.85,11300.55
220,112,48,1,85.59,85.59
221,114,7,1,3791.12,3791.12
222,8,11,3,1939.02,5817.06
223,15,3,3,2170.75,6512.25
224,96,19,3,4771.39,14314.17
225,63,28,2,1654.57,3309.14
226,145,34,4,4089.32,16357.28
227,44,44,2,2284.86,4569.72
228,157,12,1,2669.12,2669.12
229,175,25,5,1900.87,9504.35
230,150,16,4,3766.85,15067.4
231,119,10,2,3002.22,6004.44
232,118,41,3,3579.1,10737.3
233,120,17,1,602.18,602.18
234,41,19,5,4771.39,23856.95
235,89,5,4,4986.76,19947.04
236,164,38,3,4368.54,13105.62
237,117,28,3,1654.57,4963.71
238,99,20,2,4860.85,9721.7
239,61,31,1,1235.29,1235.29
240,92,25,5,1900.87,9504.35
241,180,37,3,867.38,2602.14
242,169,19,1,4771.39,4771.39
243,3,26,3,2719.93,8159.79
244,156,37,1,867.38,867.38
245,74,48,4,85.59,342.36
246,156,50,2,4305.2,8610.4
247,163,23,2,4216.26,8432.52
248,65,13,5,4310.86,21554.3
249,161,44,2,2284.86,4569.72
250,80,7,1,3791.12,3791.12
251,149,29,1,603.75,603.75
252,24,24,2,3064.4,6128.8
253,192,19,3,4771.39,14314.17
254,52,27,2,4596.54,9193.08
255,94,9,5,3970.79,19853.95
256,70,34,5,4089.32,20446.6
257,124,11,3,1939.02,5817.06
258,30,19,3,4771.39,14314.17
259,37,30,1,4399.67,4399.67
260,174,49,2,1183.26,2366.52
261,143,47,4,1189.07,4756.28
262,102,24,1,3064.4,3064.4
263,138,1,3,3737.7,11213.1
264,95,8,4,806.56,3226.24
265,150,44,3,2284.86,6854.58
266,28,25,3,1900.87,5702.61
267,121,44,2,2284.86,4569.72
268,144,2,5,1350.57,6752.85
269,57,21,5,2563.02,12815.1
270,163,42,1,4975.99,4975.99
271,167,30,3,4399.67,13199.01
272,36,27,1,4596.54,4596.54
273,78,3,1,2170.75,2170.75
274,25,32,1,4396.15,4396.15
275,35,16,5,3766.85,18834.25
276,95,25,4,1900.87,7603.48
277,108,43,5,2218.6,11093.0
278,107,38,2,4368.54,8737.08
279,126,42,1,4975.99,4975.99
280,72,40,4,3788.56,15154.24
281,56,3,3,2170.75,6512.25
282,61,29,4,603.75,2415.0
283,176,24,1,3064.4,3064.4
284,166,24,5,3064.4,15322.0
285,102,23,1,4216.26,4216.26
286,32,18,2,832.88,1665.76
287,170,30,1,4399.67,4399.67
288,6,14,5,3417.4,17087.0
289,63,4,3,2027.03,6081.09
290,53,9,5,3970.79,19853.95
291,54,5,5,4986.76,24933.8
292,60,38,2,4368.54,8737.08
293,153,22,2,4359.07,8718.14
294,38,1,3,3737.7,11213.1
295,65,9,5,3970.79,19853.95
296,170,12,1,2669.12,2669.12
297,4,2,2,1350.57,2701.14
