id_pedido,id_cliente,data_pedido
1,10,2025-09-21
2,31,2025-05-23
3,86,2025-09-06
4,28,2025-10-04
5,17,2026-01-06
6,74,2025-10-23
7,61,2025-05-05
8,61,2026-02-18
9,53,2025-04-08
10,13,2025-02-19
11,85,2025-08-09
12,46,2025-08-05
13,53,2025-08-28
14,94,2025-01-28
15,87,2025-12-01
16,83,2025-02-20
17,8,2025-07-26
18,94,2025-06-23
19,14,2025-05-08
20,25,2025-04-08
21,69,2025-08-18
22,18,2025-08-05
23,24,2025-05-23
24,60,2025-05-08
25,10,2025-08-15
26,71,2025-02-20
27,7,2025-11-30
28,70,2026-03-05
29,2,2026-05-12
30,12,2026-04-20
31,97,2026-03-11
32,31,2025-03-27
33,53,2025-09-06
34,62,2025-04-20
35,52,2026-04-08
36,8,2025-03-26
37,49,2025-01-02
38,50,2025-05-16
39,59,2025-05-27
40,55,2025-12-23
41,94,2026-02-06
42,72,2025-12-05
43,92,2025-09-07
44,20,2025-04-08
45,38,2025-04-22
46,8,2025-10-24
47,95,2025-10-05
48,8,2026-01-18
49,41,2025-01-30
50,7,2025-10-27
51,62,2025-09-15
52,68,2025-03-22
53,8,2026-05-07
54,66,2025-02-11
55,24,2025-02-05
56,77,2025-02-04
57,87,2026-03-18
58,31,2025-07-26
59,16,2026-04-28
60,73,2025-05-07
61,75,2025-11-01
62,6,2025-11-14
63,11,2025-08-03
64,85,2025-10-26
65,73,2025-09-25
66,41,2026-04-24
67,34,2025-04-15
68,86,2026-01-02
69,41,2025-05-03
70,34,2025-07-22
71,17,2025-12-10
72,83,2025-06-03
73,59,2025-06-11
74,97,2026-04-25
75,10,2025-01-05
76,59,2025-11-15
77,73,2025-02-21
78,10,2025-10-03
79,28,2025-09-17
80,34,2025-03-09
81,45,2026-03-28
82,9,2026-03-27
83,32,2025-07-09
84,37,2025-03-22
85,57,2026-03-03
86,70,2025-12-27
87,39,2025-11-10
88,84,2025-09-28
89,2,2025-12-08
90,71,2025-06-03
91,85,2025-02-23
92,18,2025-05-16
93,15,2026-04-01
94,14,2026-01-16
95,71,2025-03-21
96,35,2025-05-25
97,78,2025-04-18
98,92,2025-06-25
99,27,2025-12-18
100,82,2026-03-13
101,34,2025-09-16
102,63,2025-05-09
103,7,2025-02-17
104,82,2025-08-05
105,36,2025-01-23
106,1,2025-06-20
107,99,2025-03-08
108,82,2025-05-15
109,21,2026-01-15
110,57,2025-10-10
111,91,2025-08-07
112,72,2025-01-05
113,15,2025-02-08
114,89,2026-04-08
115,20,2025-10-07
116,5,2026-03-04
117,48,2025-10-26
118,71,2025-03-17
119,56,2025-03-07
120,6,2025-06-07
121,47,2026-04-06
122,6,2026-04-06
123,46,2025-04-18
124,88,2025-05-08
125,86,2025-02-22
126,46,2026-02-04
127,72,2026-03-29
128,53,2026-05-14
129,80,2026-01-19
130,20,2026-04-19
131,31,2026-03-19
132,21,2026-05-15
133,23,2026-03-28
134,53,2025-01-13
135,23,2026-01-13
136,43,2026-02-05
137,53,2026-02-15
138,86,2026-03-19
139,95,2026-02-20
140,32,2025-05-17
141,21,2026-02-08
142,90,2025-02-25
143,49,2026-03-23
144,5,2026-03-16
145,61,2025-04-24
146,26,2026-02-23
147,59,2025-06-29
148,40,2026-02-25
149,30,2025-04-25
150,4,2025-12-04
151,25,2025-07-24
152,43,2025-05-23
153,9,2026-05-11
154,99,2025-05-23
155,45,2025-11-25
156,66,2025-07-24
157,87,2026-03-08
158,69,2025-06-19
159,4,2025-03-01
160,34,2025-04-02
161,75,2026-05-08
162,34,2025-01-20
163,14,2025-11-02
164,56,2025-06-26
165,94,2026-02-07
166,41,2025-08-12
167,78,2025-09-19
168,15,2025-07-17
169,74,2025-04-08
170,33,2025-01-23
171,91,2025-08-12
172,1,2025-09-24
173,69,2025-12-18
174,93,2026-04-27
175,95,2026-01-13
176,86,2025-04-11
177,47,2025-08-09
178,9,2026-05-01
179,86,2026-04-17
180,43,2025-11-16
181,41,2025-12-06
182,16,2026-01-04
183,39,2025-09-17
184,40,2025-12-08
185,53,2025-06-17
186,52,2025-12-23
187,38,2025-10-11
188,17,2025-04-09
189,54,2025-12-07
190,49,2025-12-13
191,96,2026-04-08
192,23,2025-11-12
193,73,2025-06-04
194,52,2025-10-08
195,1,2025-06-05
196,37,2025-04-18
197,56,2026-02-07
198,75,2025-11-07
199,84,2025-06-14
200,60,2025-08-15
