id_produto,nome_produto,categoria,preco
1,Produto 1,Eletrônicos,3737.7
2,Produto 2,Escritório,1350.57
3,Produto 3,Escritório,2170.75
4,Produto 4,Escritório,2027.03
5,Produto 5,Eletrônicos,4986.76
6,Produto 6,Eletrônicos,2572.16
7,Produto 7,Informática,3791.12
8,Produto 8,Informática,806.56
9,Produto 9,Eletrônicos,3970.79
10,Produto 10,Acessórios,3002.22
11,Produto 11,Acessórios,1939.02
12,Produto 12,Acessórios,2669.12
13,Produto 13,Escritório,4310.86
14,Produto 14,Informática,3417.4
15,Produto 15,Informática,3424.47
16,Produto 16,Escritório,3766.85
17,Produto 17,Periféricos,602.18
18,Produto 18,Acessórios,832.88
19,Produto 19,Informática,4771.39
20,Produto 20,Periféricos,4860.85
21,Produto 21,Eletrônicos,2563.02
22,Produto 22,Informática,4359.07
23,Produto 23,Periféricos,4216.26
24,Produto 24,Escritório,3064.4
25,Produto 25,Eletrônicos,1900.87
26,Produto 26,Eletrônicos,2719.93
27,Produto 27,Escritório,4596.54
28,Produto 28,Escritório,1654.57
29,Produto 29,Informática,603.75
30,Produto 30,Periféricos,4399.67
31,Produto 31,Periféricos,1235.29
32,Produto 32,Eletrônicos,4396.15
33,Produto 33,Informática,473.98
34,Produto 34,Acessórios,4089.32
35,Produto 35,Escritório,3840.88
36,Produto 36,Eletrônicos,3315.77
37,Produto 37,Escritório,867.38
38,Produto 38,Escritório,4368.54
39,Produto 39,Acessórios,4823.6
40,Produto 40,Escritório,3788.56
41,Produto 41,Eletrônicos,3579.1
42,Produto 42,Acessórios,4975.99
43,Produto 43,Periféricos,2218.6
44,Produto 44,Escritório,2284.86
45,Produto 45,Eletrônicos,1162.25
46,Produto 46,Periféricos,154.12
47,Produto 47,Escritório,1189.07
48,Produto 48,Eletrônicos,85.59
49,Produto 49,Informática,1183.26
50,Produto 50,Informática,4305.2
